Company,Country,Industry,Investors,Valuation,ValuationDate
Toutiao (Bytedance),China,Artificial intelligence,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",75,4/7/2017
"Didi Chuxing
	  ",China,Auto & transportation,"Matrix Partners, Tiger
	  Global Management, Softbank Corp.,",56,12/31/2014
Stripe,United States,Fintech,"Khosla Ventures, LowercaseCapital, capitalG",36,1/23/2014
SpaceX,United States,Other,"Founders Fund, Draper
	  Fisher Jurvetson, Rothenberg Ventures",33.3,12/1/2012
Airbnb,United States,Travel,"General Catalyst Partners,
	  Andreessen Horowitz, ENIAC Ventures",18,7/26/2011
Kuaishou,China,Mobile & telecommunications,"Morningside Venture Capital, Sequoia Capital, Baidu",18,1/1/2015
One97 Communications,India,Fintech,"Intel Capital, Sapphire
	  Ventures, Alibaba Group",16,5/12/2015
Epic Games,United States,Other,"Tencent Holdings, KKR, Smash Ventures",15,10/26/2018
DJI Innovations,China,Hardware,"Accel Partners, Sequoia
	  Capital",15,5/6/2015
Grab,Singapore,Auto & transportation,"GGV Capital, Vertex Venture
	  Holdings, Softbank Group",14.3,12/4/2014
Beike Zhaofang,China,Internet software & services,"Tencent Holdings, Hillhouse Capital Management, Source Code Capital",14,7/18/2019
DoorDash,United States,"Supply chain, logistics, & delivery","Softbank Group, Sequoia Capital, Khosla Ventures",12.6,3/1/2018
Snowflake Computing,United States,Data management & analytics,"Redpoint Ventures,Iconiq Capital, Madrona Venture Group",12.4,1/25/2018
Palantir Technologies,United States,Data management & analytics,"RRE Ventures, Founders
	  Fund, In-Q-Tel",12.18,5/5/2011
JUUL Labs,United States,Consumer & retail,Tiger Global Management,12,12/20/2017
Bitmain Technologies,China,Hardware,"Coatue Management, Sequoia Capital China, IDG Capital",12,7/6/2018
Samumed,United States,Health,"Vickers Venture Partners, IKEA GreenTech",12,8/6/2018
Wish,United States,E-commerce & direct-to-consumer,"Founders Fund, GGV Capital, Digital Sky Technologies",11.2,5/18/2015
Global Switch,United Kingdom,Hardware,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group",11.08,12/22/2016
Go-Jek,Indonesia,"Supply chain, logistics, & delivery","Formation Group, Sequoia Capital India, Warburg Pincus",10,8/4/2016
Nubank,Brazil,Fintech,"Sequoia Capital, Redpoint e.ventures, Kaszek Ventures",10,3/1/2018
Oyo Rooms,India,Travel,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",10,9/25/2018
Ripple,United States,Fintech,"IDG Capital, Venture51, Lightspeed Venture Partners",10,12/20/2019
Coupang,South Korea,E-commerce & direct-to-consumer,"Sequoia Capital, Founder
	  Collective, Wellington Management",9,5/28/2014
Guazi (Chehaoduo),China,E-commerce & direct-to-consumer,"Sequoia Capital China, GX Capital",9,3/12/2016
Coinbase,United States,Fintech,"Y Combinator, Union Square Ventures, DFJ Growth",8,8/10/2017
BYJU'S,India,Edtech,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",8,7/25/2017
Yuanfudao,China,Edtech,"Tencent Holdings, Warbug Pincus, IDG Capital",7.8,5/31/2017
Instacart,United States,"Supply chain, logistics, & delivery","Khosla Ventures, Kleiner
	  Perkins Caufield & Byers, Collaborative Fund",7.6,12/30/2014
Robinhood,United States,Fintech,"Google Ventures, Andreessen Horowitz, DST Global",7.6,4/26/2017
SenseTime,China,Artificial intelligence,"Star VC, IDG Capital, Infore Capital, Alibaba Group",7.5,7/11/2017
Snapdeal,India,E-commerce & direct-to-consumer,"SoftBankGroup, Blackrock, Alibaba Group",7,5/21/2014
